# verdict: keep | drop | check (required, no blanks). start/end in seconds = desired final clip boundaries (end ~ whistle + 0-2s; start ~ just before the snap). Delete rows that are not plays; add rows for plays the detector missed.
clip,index,start,end,verdict,partial,notes
GH010007.MP4,1,0.00,13.00,drop,true,pre-game; whistle @ 4.94s
GH010007.MP4,2,13.00,21.00,keep,,whistle @ 19.65s
GH010007.MP4,3,21.00,36.83,drop,,dead time; whistles @ 32.14s + 36.83s (ready-for-play); zero-length bootstrap row removed here
GH010007.MP4,4,36.83,53.00,keep,,whistle @ 51.33s
GH010007.MP4,5,53.00,64.00,drop,,whistle @ 64.00s
GH010007.MP4,6,64.00,82.45,drop,,dead time
GH010007.MP4,7,82.45,90.00,keep,,whistle @ 88.45s
GH010007.MP4,8,90.00,118.74,drop,,dead time
GH010007.MP4,9,118.74,131.42,keep,,whistle @ 127.74s
GH010007.MP4,10,131.42,146.42,drop,,whistle @ 146.42s with no play in span - likely other field or ready-for-play
GH010007.MP4,11,147.24,162.24,drop,,whistle @ 162.24s with no play in span
GH010007.MP4,12,162.24,172.27,drop,,whistle @ 172.27s with no play in span
GH010007.MP4,13,182.10,190.10,drop,,dead time
GH010007.MP4,14,190.10,198.10,keep,,whistle @ 197.10s
GH010007.MP4,15,198.70,213.70,drop,,whistle @ 213.70s
GH010007.MP4,16,213.70,225.10,drop,,whistle @ 225.10s
GH010007.MP4,17,225.10,228.50,keep,,short play; whistle @ 228.50s
GH010007.MP4,18,229.46,244.46,drop,,whistle @ 244.46s
GH010007.MP4,19,244.46,255.55,keep,,whistle @ 255.55s
GH010007.MP4,20,258.82,325.54,drop,,merged two overlapping drop rows; whistle @ 273.82s
GH010007.MP4,21,325.54,336.00,drop,,dead time before the 336-339s play
GH010007.MP4,22,336.00,339.00,keep,,3s play; end confirmed by user (whistle @ 338.62s)
GH010007.MP4,23,339.00,358.00,drop,,dead time confirmed by user; whistle @ 348.91s is foreign (other field or ready-for-play)
GH010007.MP4,24,358.00,381.33,keep,,whistle @ 381.33s; start confirmed by user
GH010007.MP4,25,381.33,416.10,drop,,whistle @ 416.10s
GH010007.MP4,26,416.10,428.16,keep,,whistle @ 428.16s
GH010007.MP4,27,428.16,451.76,drop,,whistle @ 451.76s
GH010007.MP4,28,451.76,466.14,keep,,whistle @ 466.14s
GH010007.MP4,29,466.14,484.54,drop,,whistle @ 484.54s
GH010007.MP4,30,485.93,500.93,keep,,whistle @ 500.93s
GH010007.MP4,31,500.93,520.00,drop,,whistle @ 518.91s (ready-for-play for final snap)
GH010007.MP4,32,520.00,531.54,keep,true,final play cut off by recording end - draft had start>end; agent: clamp end to exact clip duration via ffprobe and set partial=true
